DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
87,3.2464
18,3.2464
75,3.2464
115,3.2464
73,3.2464
102,4.224835
91,3.2464
111,3.2464
10,3.2464
7,3.2464
113,3.2464
19,7.92259
8,3.2464
104,3.2464
69,3.2464
90,3.2464
4,10.844
15,3.2464
14,3.2464
86,3.2464
116,3.2464
5,10.844
68,3.2464
6,10.844
112,3.2464
105,3.2464
88,3.2464
84,3.2464
2,10.844
95,3.2464
89,3.2464
67,3.2464
76,3.2464
114,3.2464
12,3.2464
17,5.99735
85,3.2464
79,3.2464
77,3.2464
81,3.2464
110,3.2464
16,3.2464
80,3.2464
1,10.844
72,3.2464
71,3.2464
94,3.2464
3,10.844
74,3.2464
13,3.2464
9,3.2464
83,3.2464
103,3.2464
82,3.2464
11,3.2464
78,3.2464
117,3.2464
