DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
71,29.4262
58,11.58105
80,29.4262
51,9.89059
11,29.4262
103,29.4262
92,12.226944999999999
40,9.89059
116,29.4262
83,29.4262
52,9.89059
79,29.4262
109,9.89059
73,29.4262
3,29.4262
108,9.89059
107,9.89059
100,0.0
2,29.4262
113,29.4262
85,29.4262
32,9.89059
77,29.4262
59,9.89059
98,12.135169999999999
62,9.89059
57,11.58105
68,29.4262
34,9.89059
61,9.89059
115,29.4262
121,9.89059
23,9.89059
45,9.89059
30,9.89059
117,29.4262
33,9.89059
36,9.89059
18,29.4262
89,29.4262
76,29.4262
12,29.4262
78,29.4262
42,9.89059
63,9.89059
101,0.0
90,29.4262
44,9.89059
72,29.4262
95,29.4262
22,9.89059
64,9.89059
114,29.4262
99,12.135169999999999
25,9.89059
82,29.4262
55,9.89059
28,9.89059
49,9.89059
67,29.4262
41,9.89059
38,9.89059
37,9.89059
26,9.89059
21,9.89059
86,29.4262
14,34.825724
50,9.89059
91,29.4262
35,9.89059
88,29.4262
47,9.89059
111,29.4262
16,29.4262
13,29.4262
69,29.4262
94,29.4262
54,11.58105
105,29.4262
53,9.89059
81,29.4262
112,29.4262
29,9.89059
97,12.135169999999999
19,29.4262
96,12.135169999999999
24,9.89059
7,29.4262
75,29.4262
120,9.89059
118,9.89059
5,29.4262
56,9.89059
48,9.89059
87,29.4262
93,12.226944999999999
102,30.1868
6,29.4262
39,9.89059
60,9.89059
27,9.89059
119,9.89059
74,29.4262
110,29.4262
8,29.4262
104,29.4262
106,9.89059
84,29.4262
10,29.4262
70,0.0
46,9.89059
15,29.4262
66,0.0
65,0.0
1,29.4262
4,29.4262
20,9.89059
31,9.89059
17,29.4262
9,29.4262
43,9.89059
