DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
99,72.26037
108,58.0091
73,234.42752000000004
39,58.0091
34,58.0091
11,238.69866000000005
22,58.0091
35,58.0091
58,123.65761
52,58.0091
105,234.42752000000004
117,199.29933000000003
78,236.57005000000004
68,234.42752000000004
45,58.0091
9,242.61124000000004
30,58.0091
75,234.42752000000004
33,58.0091
106,58.0091
29,58.0091
96,72.26037
15,234.42752000000004
115,210.67745000000002
26,58.0091
32,58.0091
10,242.61124000000004
4,112.71093
46,58.0091
86,236.57005000000004
66,46.403441
87,236.57005000000004
51,58.0091
60,58.0091
82,236.57005000000004
7,234.42752000000004
69,234.42752000000004
103,235.21895800000001
62,58.0091
13,234.42752000000004
6,112.71093
56,58.0091
77,236.22915000000003
65,46.403441
76,234.42752000000004
74,234.42752000000004
50,58.0091
71,234.42752000000004
47,58.0091
101,46.403441
55,58.0091
92,137.11327
67,234.42752000000004
83,236.57005000000004
25,58.0091
21,58.0091
41,58.0091
48,58.0091
40,58.0091
112,244.45772000000005
24,58.0091
72,234.42752000000004
111,234.42752000000004
97,72.26037
116,199.29933000000003
17,241.29486800000004
59,58.0091
95,234.42752000000004
91,235.77494000000004
63,58.0091
12,234.42752000000004
79,236.57005000000004
2,112.71093
70,46.403441
94,235.77494000000004
81,236.57005000000004
121,58.0091
85,236.57005000000004
113,198.02577000000002
1,112.71093
37,58.0091
23,58.0091
57,123.65761
43,58.0091
119,58.0091
38,58.0091
88,236.57005000000004
54,123.65761
61,58.0091
114,198.02577000000002
107,58.0091
53,58.0091
109,58.0091
14,241.75598000000005
18,234.42752000000004
49,58.0091
64,58.0091
28,58.0091
80,236.57005000000004
44,58.0091
5,112.71093
90,234.42752000000004
100,46.403441
118,58.0091
104,234.42752000000004
84,236.57005000000004
19,234.42752000000004
98,72.26037
120,58.0091
20,58.0091
31,58.0091
89,236.57005000000004
8,234.42752000000004
3,112.71093
16,234.42752000000004
27,58.0091
42,58.0091
110,234.42752000000004
36,58.0091
102,142.20896
93,137.11327
