DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
22,33.03321
105,208.29352999999998
71,208.29352999999998
68,208.29352999999998
42,33.03321
29,33.03321
102,65.79369000000001
67,208.29352999999998
16,211.67418999999995
38,33.03321
7,211.67418999999995
5,156.5908
94,208.29352999999998
117,175.59491
19,208.29352999999998
93,94.176494
50,33.03321
54,85.01384
46,33.03321
98,49.79317
11,208.29352999999998
76,208.29352999999998
55,34.33315
6,156.5908
63,33.03321
12,211.67418999999995
8,211.67418999999995
47,33.03321
56,34.33315
108,34.08849
86,208.29352999999998
82,208.29352999999998
2,156.5908
64,33.03321
121,33.03321
118,33.03321
53,34.34158
80,208.29352999999998
83,208.29352999999998
73,208.29352999999998
113,175.59491
41,33.03321
90,208.29352999999998
26,33.03321
106,33.03321
114,175.59491
119,33.03321
61,33.03321
84,208.29352999999998
62,33.03321
9,211.67418999999995
91,208.29352999999998
72,208.29352999999998
111,209.99347
59,33.03321
69,208.29352999999998
77,225.98372999999998
99,51.43361
40,33.03321
74,208.29352999999998
48,33.03321
79,208.29352999999998
88,208.29352999999998
28,33.03321
87,208.29352999999998
1,156.5908
57,85.01384
34,33.03321
58,85.01384
44,33.03321
110,208.29352999999998
89,208.29352999999998
15,211.67418999999995
43,33.03321
85,208.29352999999998
52,33.03321
24,33.03321
95,208.29352999999998
4,156.5908
39,33.03321
13,211.67418999999995
78,208.29352999999998
109,33.03321
81,208.29352999999998
45,33.03321
75,208.29352999999998
49,33.03321
37,33.03321
17,219.44752999999997
92,94.176494
96,49.79317
116,175.59491
120,33.03321
60,33.03321
33,33.03321
14,216.48278
31,33.03321
25,33.03321
104,208.29352999999998
21,33.03321
112,216.66566999999998
23,33.03321
103,211.41746999999998
107,33.03321
115,184.00696
10,211.67418999999995
97,49.79317
27,33.03321
30,33.03321
51,33.03321
3,156.5908
36,33.03321
32,33.03321
18,208.29352999999998
20,33.03321
35,33.03321
