DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
87,2277.3252580000003
89,2277.3252580000003
73,2277.3252580000003
94,2277.3252580000003
26,4.4039502
11,2277.3252580000003
40,4.4039502
81,2277.3252580000003
62,4.4039502
79,2277.3252580000003
74,2277.3252580000003
37,4.4039502
10,2277.3252580000003
33,4.4039502
46,4.4039502
118,4.4039502
115,2261.6421150000006
57,9.3515132
82,2277.3252580000003
96,5.9714332
18,2277.3252580000003
92,60.053299200000005
5,2258.2580000000003
30,4.4039502
9,2277.3252580000003
34,4.4039502
12,2277.3252580000003
98,5.9714332
44,4.4039502
60,4.4039502
117,2260.603473
78,2277.3252580000003
54,9.3515132
68,2277.3252580000003
84,2277.3252580000003
116,2260.603473
59,4.4039502
56,4.4039502
99,17.1799332
38,4.4039502
23,4.4039502
51,4.4039502
22,4.4039502
48,4.4039502
58,9.3515132
121,4.4039502
113,2260.603473
24,4.4039502
50,4.4039502
55,4.4039502
83,2277.3252580000003
8,2277.3252580000003
90,2277.3252580000003
53,4.4039502
102,3.3275362
63,4.4039502
21,4.4039502
76,2277.3252580000003
110,2277.3252580000003
104,2277.3252580000003
43,4.4039502
61,4.4039502
111,2277.716017
15,2277.3252580000003
16,2277.3252580000003
29,4.4039502
80,2277.3252580000003
86,2277.3252580000003
32,4.4039502
72,2277.3252580000003
49,4.4039502
36,4.4039502
13,2277.3252580000003
14,2278.4563890000004
7,2277.3252580000003
107,4.4039502
17,2278.9945100000004
91,2277.3252580000003
2,2258.2580000000003
45,4.4039502
28,4.4039502
97,5.9714332
3,2258.2580000000003
25,4.4039502
106,4.4039502
77,2287.3207580000003
71,2277.3252580000003
69,2277.3252580000003
120,4.4039502
88,2277.3252580000003
41,4.4039502
93,60.053299200000005
47,4.4039502
35,4.4039502
108,4.5510592
95,2277.3252580000003
103,2277.591338
1,2258.2580000000003
114,2260.603473
4,2258.2580000000003
67,2277.3252580000003
20,4.4039502
27,4.4039502
64,4.4039502
112,2277.9556480000006
119,4.4039502
19,2277.3252580000003
109,4.4039502
42,4.4039502
6,2258.2580000000003
85,2277.3252580000003
39,4.4039502
75,2277.3252580000003
52,4.4039502
105,2277.3252580000003
31,4.4039502
