DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
119,12.6113
71,77.898196
97,12.9424076
33,12.6113
120,12.6113
48,12.6113
65,10.354232
19,77.898196
37,12.6113
42,12.6113
24,12.6113
49,12.6113
102,28.652873
53,12.6113
38,12.6113
68,77.898196
28,12.6113
45,12.6113
112,79.290246
113,51.63610499999999
111,77.898196
2,33.6809
15,77.898196
69,77.898196
94,78.565883
10,78.211656
56,12.6113
84,79.529406
66,10.354232
20,12.6113
67,77.898196
35,12.6113
91,78.565883
50,12.6113
64,12.6113
73,77.898196
26,12.6113
70,10.354232
98,12.9424076
63,12.6113
104,77.898196
39,12.6113
61,12.6113
92,111.369078
81,79.529406
17,78.0982223
62,12.6113
46,12.6113
86,79.529406
52,12.6113
95,77.898196
44,12.6113
77,77.898196
59,12.6113
40,12.6113
74,77.898196
118,12.6113
108,12.6113
54,109.7998
8,77.898196
55,12.6113
1,33.6809
89,79.529406
21,12.6113
25,12.6113
14,81.82100700000001
43,12.6113
107,12.6113
30,12.6113
90,77.898196
51,12.6113
115,74.48099599999999
32,12.6113
6,33.6809
85,79.529406
109,12.6113
23,12.6113
82,79.529406
87,79.529406
103,77.898196
101,10.354232
76,77.898196
58,109.7998
5,33.6809
16,77.898196
7,77.898196
18,77.898196
83,79.529406
79,79.529406
57,109.7998
106,12.6113
93,111.369078
96,12.9424076
4,33.6809
12,77.898196
110,77.898196
9,78.211656
116,51.63610499999999
114,51.63610499999999
27,12.6113
105,77.898196
100,10.354232
13,77.898196
11,77.898196
80,79.529406
41,12.6113
121,12.6113
60,12.6113
72,77.898196
29,12.6113
3,33.6809
34,12.6113
47,12.6113
31,12.6113
88,79.529406
75,77.898196
22,12.6113
36,12.6113
78,79.529406
99,12.9424076
117,51.63610499999999
